Family	Cluster	GorGor	HomSap	MacFas	PanPan	PanTro	PonAbe	PonPyg	SymSyn
ARMCX1	ARMCX1	1	1	1	1	1	1	1	1
ARMCX1	ARMCX2	1	1	1	1	1	1	1	1
ARMCX1	ARMCX3	1	1	1	1	1	1	1	1
ARMCX1	ARMCX6	1	1	1	1	1	1	1	1
ARMCX1	GorGor_PanPan_PanTro_PonAbe_PonPyg_SymSyn_cluster1	1	0	0	1	1	1	1	1
ARMCX1	MacFas_cluster1	0	0	1	0	0	0	0	0
CENPVL2	CENPVL3	3	3	3	3	3	3	3	3
CSAG2	CSAG1	0	1	0	0	0	0	0	0
CSAG2	CSAG2	2	2	2	4	2	3	4	2
CSF2RA	CSF2RA	1	1	1	1	1	0	0	2
CSF2RA	CSF2RA_2	0	0	0	0	0	1	0	0
CSF2RA	PonPyg_cluster1	0	0	0	0	0	0	1	0
CT45A2	CT45A3	4	8	2	4	4	3	3	2
CT45A2	SymSyn_cluster1	0	0	0	0	0	0	0	1
CT47C1	CT47A4	8	7	2	1	1	1	0	0
CT47C1	CT47B1	2	1	0	1	1	0	0	0
CT47C1	CT47C1	1	1	1	1	1	0	0	0
CT47C1	CT47C1_2	0	0	0	0	0	1	1	0
CT47C1	CT47C1_3	0	0	0	0	0	0	0	1
CT47C1	MacFas_cluster1	0	0	1	0	0	0	0	0
CT47C1	PanPan_PanTro_cluster1	0	0	0	1	1	0	0	0
CT47C1	PonAbe_PonPyg_cluster1	0	0	0	0	0	1	1	0
CT47C1	PonAbe_PonPyg_cluster2	0	0	0	0	0	1	1	0
CT47C1	SymSyn_cluster1	0	0	0	0	0	0	0	2
CXorf49	CXorf49	2	3	4	4	4	3	3	3
CXorf49	MacFas_cluster1	0	0	2	0	0	0	0	0
CXorf49	PanPan_PanTro_cluster1	0	0	0	2	2	0	0	0
CXorf49	PanPan_cluster1	0	0	0	1	0	0	0	0
CXorf49	PonAbe_cluster1	0	0	0	0	0	1	0	0
CXorf49	SymSyn_cluster1	0	0	0	0	0	0	0	1
CXorf51A	CXorf51B	2	2	1	3	2	1	1	0
CXorf51A	SymSyn_cluster1	0	0	0	0	0	0	0	1
DMRTC1B	DMRTC1	2	2	2	2	2	1	0	2
DMRTC1B	DMRTC1_2	0	0	0	0	0	1	2	0
EOLA1	EOLA1	2	0	0	4	0	0	0	0
EOLA1	EOLA1_2	0	0	0	0	1	0	0	0
EOLA1	EOLA1_3	0	0	0	0	0	0	0	1
EOLA1	EOLA1_4	0	0	1	0	0	0	0	0
EOLA1	EOLA2	0	2	0	1	0	2	1	1
EOLA1	EOLA2_2	0	0	0	0	1	0	0	0
EOLA1	EOLA2_3	0	0	1	0	0	0	0	0
ETDB	ETDA	0	0	0	0	1	2	2	3
ETDB	ETDB	3	3	2	1	1	1	1	2
ETDB	ETDC	0	0	0	0	0	1	0	0
ETDB	PanPan_PanTro_cluster1	0	0	0	1	1	0	0	0
F8A1	F8	1	1	1	1	1	0	1	1
F8A1	F8A3	3	3	2	3	3	1	2	3
F8A1	F8_2	0	0	0	0	0	1	0	0
F8A1	MacFas_PonAbe_PonPyg_cluster1	0	0	1	0	0	2	1	0
FAM156A	FAM156B	2	2	2	2	2	2	2	2
FAM236C	FAM236A	0	4	0	0	1	1	0	2
