Species	Gene	Gene_symbol	Start	End	Strand	Class	gene_family_symbol	in_palindrome	palindrome_name
PanTro	colony stimulating factor 2 receptor subunit alpha	LOC746936	1771418	1838874	+	PAR	CSF2RA	no	
PanTro	sperm protein associated with the nucleus on the X chromosome C-like	LOC129388397	3486949	3488083	+	AMPLICONIC	SPANXA1	no	
PanTro	SPANX A/D member 3	LOC493983	3566190	3567169	+	AMPLICONIC	SPANXA1	no	
PanTro	protein kinase X-linked	PRKX	4149880	4259574	-	ANCESTRAL	TBL1X	no	
PanTro	atherin-like	LOC740134	4370640	4405131	-	ANCESTRAL	TBL1X	no	
PanTro	variable charge X-linked-like	LOC112207788	6977345	6978198	-	ANCESTRAL	VCX2	no	
PanTro	variable charge X-linked-like	LOC112206844	6995002	6995951	-	ANCESTRAL	VCX2	no	
PanTro	variable charge X-linked-like	LOC112206942	8297431	8298403	+	ANCESTRAL	VCX2	no	
PanTro	variable charge X-linked-like	LOC129138886	8628177	8629087	-	AMPLICONIC	VCX2	no	
PanTro	variable charge X-linked-like	LOC112207729	8647049	8647919	-	AMPLICONIC	VCX2	no	
PanTro	variable charge X-linked-like	LOC112206920	8675543	8676475	-	ANCESTRAL	VCX2	no	
PanTro	variable charge X-linked-like	LOC112207987	8694363	8695233	-	ANCESTRAL	VCX2	no	
PanTro	variable charge X-linked-like	LOC100610512	8990715	8991667	+	AMPLICONIC	VCX2	yes	Q1.1B
PanTro	variable charge X-linked-like	LOC107971192	9010036	9010969	+	ANCESTRAL	VCX2	no	
PanTro	variable charge X-linked-like	LOC112206878	9333745	9334729	+	ANCESTRAL	VCX2	no	
PanTro	variable charge X-linked-like	LOC112207919	9576455	9577429	+	ANCESTRAL	VCX2	no	
PanTro	transducin beta like 1 X-linked	TBL1X	10232020	10311451	+	ANCESTRAL	TBL1X	no	
PanTro	thymosin beta 4 X-linked	TMSB4X	13552493	13554638	+	ANCESTRAL	TMSB15B	no	
PanTro	MAGE family member B17	MAGEB17	16753395	16761730	+	ANCESTRAL	MAGEB18	no	
PanTro	MAGE family member B18	MAGEB18	26715603	26718009	+	ANCESTRAL	MAGEB18	no	
PanTro	melanoma-associated antigen B6	LOC473542	26769665	26772770	+	ANCESTRAL	MAGEB18	no	
PanTro	MAGE family member B5	MAGEB5	26793151	26795394	+	ANCESTRAL	MAGEB18	no	
PanTro	MAGE family member B10	MAGEB10	28390370	28406369	+	ANCESTRAL	MAGEB18	no	
PanTro	melanoma-associated antigen B10-like	LOC473544	28414449	28417502	+	ANCESTRAL	MAGEB18	no	
PanTro	MAGE family member B2	MAGEB2	30788129	30792653	+	ANCESTRAL	MAGEB18	no	
PanTro	MAGE family member B3	MAGEB3	30803171	30811843	+	ANCESTRAL	MAGEB18	no	
PanTro	MAGE family member B4	MAGEB4	30815767	30818048	+	ANCESTRAL	MAGEB18	no	
PanTro	MAGE family member B1	MAGEB1	30817558	30825900	+	ANCESTRAL	MAGEB18	no	
PanTro	uncharacterized LOC129138669	LOC129138669	34514909	34524450	-	ANCESTRAL	uncharacterized LOC129138873	no	
PanTro	transcription elongation factor A protein-like 8	LOC129388395	35094223	35094786	-	ANCESTRAL	TCEAL8	no	
PanTro	MAGE family member B16	MAGEB16	36423478	36428946	+	ANCESTRAL	MAGEB18	no	
PanTro	H2A.L variant histone 1Q	H2AL1Q	37355494	37356295	+	ANCESTRAL	H2AB3	no	
PanTro	endogenous retrovirus group K member 6 Env polyprotein	LOC112206852	37778039	37781178	+	ANCESTRAL	endogenous retrovirus group K member 6 Env polyprotein-like	no	
PanTro	histone H2A-like 3	LOC129138892	38422772	38423843	+	ANCESTRAL	H2AB3	no	
PanTro	sperm acrosome associated 5	SPACA5	48439553	48442294	+	ANCESTRAL	SPACA5	no	
PanTro	SSX family member 1	SSX1	48538910	48551206	+	ANCESTRAL	SSX4B	no	
PanTro	protein SSX2	LOC737502	48567773	48576906	-	ANCESTRAL	SSX4B	no	
PanTro	putative protein SSX9	LOC100608018	48596104	48604108	-	ANCESTRAL	SSX4B	no	
PanTro	SSX family member 3	SSX3	48645590	48655920	-	AMPLICONIC	SSX4B	no	
PanTro	protein SSX4	LOC107966478	48682416	48692408	+	AMPLICONIC	SSX4B	yes	Q2A
PanTro	protein SSX4	LOC737267	48701149	48711143	-	AMPLICONIC	SSX4B	yes	Q2B
PanTro	G antigen 10	GAGE10	49601367	49617528	+	ANCESTRAL	GAGE1	no	
PanTro	G antigen 2D	LOC129138855	49619742	49627059	+	ANCESTRAL	GAGE1	no	
PanTro	G antigen 2D-like	LOC129135406	49629232	49636597	+	ANCESTRAL	GAGE1	no	
PanTro	G antigen 2D-like	LOC129138594	49638759	49646125	+	ANCESTRAL	GAGE1	no	
PanTro	G antigen 2D-like	LOC129135348	49648286	49655652	+	ANCESTRAL	GAGE1	no	
PanTro	G antigen 2D-like	LOC129138595	49657858	49665180	+	ANCESTRAL	GAGE1	no	
PanTro	G antigen 4	LOC129138596	49667355	49674716	+	ANCESTRAL	GAGE1	no	
PanTro	G antigen 4	LOC129138710	49676890	49684251	+	ANCESTRAL	GAGE1	no	
PanTro	G antigen 4	LOC473605	49686424	49693785	+	ANCESTRAL	GAGE1	no	
PanTro	PAGE family member 1	PAGE1	49779348	49787396	-	ANCESTRAL	GAGE1	no	
PanTro	PAGE family member 4	PAGE4	49922022	49926957	+	ANCESTRAL	GAGE1	no	
PanTro	diphosphoinositol polyphosphate phosphohydrolase 3-beta	LOC107971149	51388468	51393598	+	ANCESTRAL	NUDT10	no	
PanTro	diphosphoinositol polyphosphate phosphohydrolase 3-beta	LOC107971179	51549278	51556198	-	ANCESTRAL	NUDT10	no	
PanTro	centromere protein V like 3	CENPVL3	51657091	51659004	-	ANCESTRAL	CENPVL2	no	
PanTro	centromere protein V-like protein 1	LOC473612	51721015	51722970	-	AMPLICONIC	CENPVL2	yes	Q3A
PanTro	centromere protein V-like protein 1	LOC107970979	51752566	51754517	+	AMPLICONIC	CENPVL2	yes	Q3B
PanTro	MAGE family member D1	MAGED1	51845428	51944688	+	ANCESTRAL	MAGED1	no	
PanTro	putative uncharacterized protein FLJ39060	LOC107971160	52099049	52100526	-	AMPLICONIC	putative uncharacterized protein FLJ39060	yes	Q4A
PanTro	melanoma-associated antigen D4	LOC112204101	52108136	52115883	-	AMPLICONIC	MAGED1	yes	Q4A
PanTro	MAGE family member D4	MAGED4	52230811	52238560	+	AMPLICONIC	MAGED1	yes	Q4B
PanTro	X antigen family member 2	XAGE2	52415442	52422135	+	ANCESTRAL	GAGE1	no	
PanTro	X antigen family member 1	LOC129138634	52542317	52547396	+	AMPLICONIC	XAGE1A	yes	Q5A
PanTro	X antigen family member 1	LOC129138633	52554010	52559086	-	AMPLICONIC	XAGE1A	yes	Q5B
PanTro	putative protein SSX8	LOC465644	52667338	52675228	+	AMPLICONIC	SSX4B	no	
PanTro	X antigen family member 5	LOC129135314	52702874	52709985	-	AMPLICONIC	GAGE1	yes	Q6A
PanTro	sperm protein associated with the nucleus on the X chromosome N2	LOC129135293	52723705	52725005	+	AMPLICONIC	SPANXA1	yes	Q6A
PanTro	protein SSX2	LOC129135296	52759532	52769852	-	AMPLICONIC	SSX4B	yes	Q6A
PanTro	protein SSX2	LOC741661	52811093	52821413	+	AMPLICONIC	SSX4B	yes	Q6B
PanTro	SPANX family, member N5	SPANXN5	52855935	52857224	-	AMPLICONIC	SPANXA1	yes	Q6B
PanTro	X antigen family member 5	XAGE5	52870953	52878062	+	AMPLICONIC	GAGE1	yes	Q6B
PanTro	X antigen family member 3	XAGE3	52919823	52925385	-	AMPLICONIC	GAGE1	no	
PanTro	family with sequence similarity 156 member B	FAM156B	52946174	52963275	+	AMPLICONIC	FAM156B	yes	Q7A
PanTro	family with sequence similarity 156 member A	FAM156A	53001590	53018693	-	AMPLICONIC	FAM156B	yes	Q7B
PanTro	MAGE family member D2	MAGED2	54845594	54854048	+	ANCESTRAL	MAGED1	no	
PanTro	trophinin	TRO	54960830	54971481	+	ANCESTRAL	MAGED1	no	
PanTro	PAGE family member 2B	PAGE2B	55068051	55118986	+	ANCESTRAL	GAGE1	no	
PanTro	putative G antigen family E member 3	LOC107966361	55129104	55133096	+	ANCESTRAL	GAGE1	no	
PanTro	PAGE family member 5	PAGE5	55251591	55264438	+	ANCESTRAL	GAGE1	no	
PanTro	PAGE family member 3	PAGE3	55304046	55309522	-	ANCESTRAL	GAGE1	no	
PanTro	spindlin family member 3	SPIN3	56999351	57004060	-	ANCESTRAL	SPIN2A	no	
PanTro	spindlin-2	LOC465663	57134129	57136010	-	ANCESTRAL	SPIN2A	no	
PanTro	spindlin-2	LOC107966555	57149745	57151783	-	ANCESTRAL	SPIN2A	no	
PanTro	zinc finger X-linked protein ZXDB	LOC473633	57634565	57640243	+	ANCESTRAL	ZXDA	no	
PanTro	zinc finger X-linked duplicated A	ZXDA	57949264	57975663	-	ANCESTRAL	ZXDA	no	
PanTro	spindlin family member 4	SPIN4	60922068	61264847	-	ANCESTRAL	SPIN2A	no	
PanTro	uncharacterized protein CXorf49-like	LOC465705	69458890	69462940	-	AMPLICONIC	CXorf49B	no	
PanTro	uncharacterized protein CXorf49	LOC100612947	69463281	69467414	+	AMPLICONIC	CXorf49B	no	
PanTro	uncharacterized protein CXorf49	LOC737558	69510421	69514517	-	AMPLICONIC	CXorf49B	yes	Q10A
PanTro	uncharacterized protein CXorf49-like	LOC104003919	69514872	69516844	+	AMPLICONIC	CXorf49B	yes	Q10A
PanTro	uncharacterized protein CXorf49-like	LOC129138871	69558624	69560697	-	AMPLICONIC	CXorf49B	yes	Q10B
PanTro	chromosome X CXorf49B homolog	CXHXorf49B	69561060	69565047	+	AMPLICONIC	CXorf49B	yes	Q10B
PanTro	DMRT like family C1B	DMRTC1B	70576364	70648877	+	AMPLICONIC	DMRTC1B	yes	Q11A
PanTro	protein FAM236A	LOC465714	70582373	70583196	-	AMPLICONIC	FAM236C	yes	Q11A
PanTro	doublesex- and mab-3-related transcription factor C1	LOC107966387	70673273	70744614	-	AMPLICONIC	DMRTC1B	yes	Q11B
PanTro	protein FAM236A-like	LOC129135304	70738872	70739784	+	AMPLICONIC	FAM236C	yes	Q11B
PanTro	poly(A) binding protein cytoplasmic 1 like 2A	PABPC1L2A	70803905	70805954	+	AMPLICONIC	PABPC1L2B	no	
PanTro	polyadenylate-binding protein 1-like 2	LOC100615000	70876048	70878171	-	AMPLICONIC	PABPC1L2B	yes	Q12B
PanTro	polyadenylate-binding protein 1-like	LOC129138687	72410867	72411524	-	ANCESTRAL	PABPC1L2B	no	
PanTro	poly(A) binding protein cytoplasmic 5	PABPC5	89027750	89032037	+	ANCESTRAL	PABPC1L2B	no	
PanTro	ribosomal protein L36a	RPL36A	98958613	98963847	+	ANCESTRAL	RPL36A-HNRNPH2	no	
PanTro	armadillo repeat containing X-linked 1	ARMCX1	99116159	99120468	+	ANCESTRAL	ARMCX2	no	
PanTro	protein ARMCX6-like	LOC107966492	99163183	99164400	+	ANCESTRAL	ARMCX2	no	
PanTro	armadillo repeat containing X-linked 6	ARMCX6	99180795	99183690	-	ANCESTRAL	ARMCX2	no	
PanTro	armadillo repeat containing X-linked 3	ARMCX3	99188449	99193496	+	ANCESTRAL	ARMCX2	no	
PanTro	armadillo repeat containing X-linked 2	ARMCX2	99221037	99225663	-	ANCESTRAL	ARMCX2	no	
PanTro	nuclear RNA export factor 5	NXF5	99402299	99408959	-	ANCESTRAL	NXF2	no	
PanTro	T-complex protein 11-like X-linked protein 2	LOC107971184	99790158	99804437	+	AMPLICONIC	TCP11X2	yes	Q13A
PanTro	nuclear RNA export factor 2	LOC735423	99804203	99916576	+	AMPLICONIC	NXF2	yes	Q13A
PanTro	nuclear RNA export factor 2	LOC129138885	99956115	100068530	-	AMPLICONIC	NXF2	yes	Q13B
PanTro	t-complex 11 family, X-linked 2	TCP11X2	100068298	100082575	-	AMPLICONIC	TCP11X2	yes	Q13B
PanTro	thymosin beta 15A	TMSB15A	100124397	100127500	-	ANCESTRAL	TMSB15B	no	
PanTro	G protein-coupled receptor associated sorting protein 2	GPRASP2	100206520	100324659	+	ANCESTRAL	GPRASP2	no	
PanTro	G protein-coupled receptor associated sorting protein 1	GPRASP1	100256722	100264027	+	ANCESTRAL	GPRASP2	no	
PanTro	RAB40A like	RAB40AL	100376799	100794752	+	ANCESTRAL	RAB40A	no	
PanTro	nuclear RNA export factor 3	NXF3	100683688	100701003	-	ANCESTRAL	NXF2	no	
PanTro	transcription elongation factor A like 8	TCEAL8	100865541	100867662	-	ANCESTRAL	TCEAL8	no	
PanTro	ras-related protein Rab-40A	LOC104003957	101111866	101129504	-	ANCESTRAL	RAB40A	no	
PanTro	H2B.W histone 4	H2BW4	101481487	101484050	+	ANCESTRAL	H2BW2	no	
PanTro	H2B.W histone 1	H2BW1	101519782	101520519	-	ANCESTRAL	H2BW2	no	
PanTro	thymosin beta-15A	LOC104001050	101533276	101537031	-	ANCESTRAL	TMSB15B	no	
PanTro	H2B.W histone 2	H2BW2	101541825	101542888	+	ANCESTRAL	H2BW2	no	
PanTro	thymosin beta-15A	LOC107971086	101575609	101579227	-	ANCESTRAL	TMSB15B	no	
PanTro	cancer/testis antigen family 47 member C1	CT47C1	116575772	116579496	+	ANCESTRAL	CT47C1	no	
PanTro	rhox homeobox family member 2	LOC129135292	117610678	117616535	-	AMPLICONIC	RHOXF2B	yes	Q15.3A
PanTro	rhox homeobox family member 2	LOC129138611	117704866	117710723	+	AMPLICONIC	RHOXF2B	yes	Q15.4B
PanTro	rhox homeobox family member 2	LOC107966504	117770172	117775919	+	AMPLICONIC	RHOXF2B	yes	Q15.3B
PanTro	cancer/testis antigen family 47 member B1	LOC465839	118487005	118490601	-	ANCESTRAL	CT47C1	no	
PanTro	cancer/testis antigen 47A	LOC112206860	118490146	118492709	-	ANCESTRAL	CT47C1	no	
PanTro	cancer/testis antigen 47A	LOC738115	118493966	118497604	-	ANCESTRAL	CT47C1	no	
PanTro	small integral membrane protein 10	SMIM10	132457990	132459575	+	ANCESTRAL	SMIM10L2A	no	
PanTro	small integral membrane protein 10 like 2B	SMIM10L2B	132560593	132564349	-	ANCESTRAL	SMIM10L2A	no	
PanTro	embryonic testis differentiation homolog B	ETDB	132585723	132587325	-	AMPLICONIC	ETDA	yes	Q16A
PanTro	embryonic testis differentiation protein homolog B	LOC129138847	132718820	132720450	+	AMPLICONIC	ETDA	yes	Q16B
PanTro	embryonic testis differentiation protein homolog C	LOC112206982	132772780	132773211	+	ANCESTRAL	ETDA	no	
PanTro	small integral membrane protein 10 like 2A	SMIM10L2A	132885948	132886501	+	ANCESTRAL	SMIM10L2A	no	
PanTro	integrator complex subunit 6 like	INTS6L	132984475	133046327	+	ANCESTRAL	SAGE1	no	
PanTro	sarcoma antigen 1-like	LOC100608305	133060374	133082506	+	ANCESTRAL	SAGE1	no	
PanTro	putative SAGE1-like protein	LOC107971063	133137289	133143351	-	ANCESTRAL	SAGE1	no	
PanTro	sarcoma antigen 1	LOC129135417	133217635	133240495	-	AMPLICONIC	SAGE1	yes	Q17A
PanTro	cancer/testis antigen family 45 member A10	LOC738391	133237107	133249648	+	AMPLICONIC	CT45A8	yes	Q17A
PanTro	cancer/testis antigen family 45 member A6	LOC129138625	133258831	133266916	+	AMPLICONIC	CT45A8	yes	Q17A
PanTro	cancer/testis antigen family 45 member A6	LOC465877	133303782	133311827	-	AMPLICONIC	CT45A8	yes	Q17B
PanTro	cancer/testis antigen family 45 member A10	LOC107973088	133321050	133333603	-	AMPLICONIC	CT45A8	yes	Q17B
PanTro	sarcoma antigen 1	SAGE1	133330386	133353071	+	AMPLICONIC	SAGE1	yes	Q17B
PanTro	putative MAGE domain-containing protein MAGEA13P	LOC107971121	135923932	135924984	+	ANCESTRAL	MAGEB18	no	
PanTro	uncharacterized LOC129138873	LOC129138873	136618000	136629176	+	ANCESTRAL	uncharacterized LOC129138873	no	
PanTro	SPANX A/D member 1	LOC493981	138307374	138308318	+	ANCESTRAL	SPANXA1	no	
PanTro	SPANX A/D member 2	SPANX-B	138525613	138526943	+	ANCESTRAL	SPANXA1	no	
PanTro	large ribosomal subunit protein eL42-like	LOC107971048	138660932	138661649	+	ANCESTRAL	RPL36A-HNRNPH2	no	
PanTro	sperm protein associated with the nucleus on the X chromosome C	LOC112206915	139182557	139183648	-	AMPLICONIC	SPANXA1	no	
PanTro	MAGE family member C3	MAGEC3	139372965	139375193	+	ANCESTRAL	MAGEB18	no	
PanTro	MAGE family member C1	MAGEC1	139381335	139388533	+	ANCESTRAL	MAGEB18	no	
PanTro	MAGE family member C2	MAGEC2	139678440	139681930	-	ANCESTRAL	MAGEB18	no	
PanTro	sperm protein associated with the nucleus on the X chromosome N4	LOC740280	140491676	140500526	+	ANCESTRAL	SPANXA1	no	
PanTro	SPANX family, member N3	SPANXN3	140963759	140972330	-	ANCESTRAL	SPANXA1	no	
PanTro	SPANX-N2	SPANXN2	141162107	141170482	-	ANCESTRAL	SPANXA1	no	
PanTro	SPANX family member N1	SPANXN1	142654374	142663402	+	ANCESTRAL	SPANXA1	no	
PanTro	chromosome X CXorf51B homolog	CXHXorf51B	144180636	144181299	+	AMPLICONIC	CXorf51B	yes	Q20A
PanTro	chromosome X CXorf51A homolog	CXHXorf51A	144211965	144212629	-	Unknown	CXorf51B	no	
PanTro	endothelium and lymphocyte associated ASCH domain 1	EOLA1	146920534	146931067	+	AMPLICONIC	EOLA1	yes	Q21.1A
PanTro	heat shock transcription factor, X-linked member 3	LOC112204049	146928404	146930046	-	AMPLICONIC	HSFX3	yes	Q21.1A
PanTro	melanoma-associated antigen 8	LOC129138607	146976407	146981061	-	AMPLICONIC	MAGEB18	yes	Q21.2A
PanTro	MAGE family member A9	LOC473817	147074614	147080422	-	AMPLICONIC	MAGEB18	yes	Q21.2A
PanTro	melanoma-associated antigen 9	LOC129138623	147120578	147126413	-	AMPLICONIC	MAGEB18	yes	Q21.3A
PanTro	MAGE family member A11	MAGEA11	147191876	147197151	+	AMPLICONIC	MAGEB18	no	
PanTro	transmembrane protein 185A	TMEM185A	147252146	147287569	+	AMPLICONIC	TMEM185A	no	
PanTro	heat shock transcription factor, X-linked	LOC473816	147287519	147291618	+	AMPLICONIC	HSFX3	yes	Q21.2B
PanTro	MAGE family member A9	MAGEA9	147296650	147302483	+	AMPLICONIC	MAGEB18	yes	Q21.2B
PanTro	MAGE family member A8	MAGEA8	147396051	147400690	+	AMPLICONIC	MAGEB18	yes	Q21.2B
PanTro	endothelium and lymphocyte associated ASCH domain 2	EOLA2	147445041	147455293	-	AMPLICONIC	EOLA1	yes	Q21.1B
PanTro	heat shock transcription factor, X-linked member 3	LOC104004022	147446062	147447704	+	AMPLICONIC	HSFX3	yes	Q21.1B
PanTro	MAGE family member A4	MAGEA4	149400437	149412358	+	ANCESTRAL	MAGEB18	no	
PanTro	MAGE family member A10	MAGEA10	149615510	149620751	-	ANCESTRAL	MAGEB18	no	
PanTro	melanoma-associated antigen 6	LOC107972766	150183422	150187098	+	AMPLICONIC	MAGEB18	yes	Q23A
PanTro	MAGE family member A2B	MAGEA2B	150199327	150203366	+	AMPLICONIC	MAGEB18	yes	Q23A
