Species	Gene	Gene_symbol	Start	End	Strand	Class	gene_family_symbol	in_palindrome	palindrome_name	cluster
PanTro	colony stimulating factor 2 receptor subunit alpha	LOC746936	1771418	1838874	+	PAR	CSF2RA	no		CSF2RA
PanTro	sperm protein associated with the nucleus on the X chromosome C-like	LOC129388397	3486949	3488083	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanTro	SPANX A/D member 3	LOC493983	3566190	3567169	+	AMPLICONIC	SPANXA1	no		PanPan_PanTro_cluster1
PanTro	protein kinase X-linked	PRKX	4149880	4259574	-	ANCESTRAL	TBL1X	no		PRKX
PanTro	atherin-like	LOC740134	4370640	4405131	-	ANCESTRAL	TBL1X	no		PanTro_cluster1
PanTro	variable charge X-linked-like	LOC112207788	6977345	6978198	-	ANCESTRAL	VCX2	no		VCX
PanTro	variable charge X-linked-like	LOC112206844	6995002	6995951	-	ANCESTRAL	VCX2	no		VCX
PanTro	variable charge X-linked-like	LOC112206942	8297431	8298403	+	ANCESTRAL	VCX2	no		PanTro_cluster1
PanTro	variable charge X-linked-like	LOC129138886	8628177	8629087	-	AMPLICONIC	VCX2	no		VCX
PanTro	variable charge X-linked-like	LOC112207729	8647049	8647919	-	AMPLICONIC	VCX2	no		VCX
PanTro	variable charge X-linked-like	LOC112206920	8675543	8676475	-	ANCESTRAL	VCX2	no		VCX
PanTro	variable charge X-linked-like	LOC112207987	8694363	8695233	-	ANCESTRAL	VCX2	no		VCX
PanTro	variable charge X-linked-like	LOC100610512	8990715	8991667	+	AMPLICONIC	VCX2	yes	Q1.1B	VCX
PanTro	variable charge X-linked-like	LOC107971192	9010036	9010969	+	ANCESTRAL	VCX2	no		VCX
PanTro	variable charge X-linked-like	LOC112206878	9333745	9334729	+	ANCESTRAL	VCX2	no		VCX
PanTro	variable charge X-linked-like	LOC112207919	9576455	9577429	+	ANCESTRAL	VCX2	no		VCX
PanTro	transducin beta like 1 X-linked	TBL1X	10232020	10311451	+	ANCESTRAL	TBL1X	no		TBL1X
PanTro	thymosin beta 4 X-linked	TMSB4X	13552493	13554638	+	ANCESTRAL	TMSB15B	no		TMSB4X
PanTro	MAGE family member B17	MAGEB17	16753395	16761730	+	ANCESTRAL	MAGEB18	no		MAGEB17
PanTro	MAGE family member B18	MAGEB18	26715603	26718009	+	ANCESTRAL	MAGEB18	no		MAGEB18
PanTro	melanoma-associated antigen B6	LOC473542	26769665	26772770	+	ANCESTRAL	MAGEB18	no		MAGEB6
PanTro	MAGE family member B5	MAGEB5	26793151	26795394	+	ANCESTRAL	MAGEB18	no		MAGEB5
PanTro	MAGE family member B10	MAGEB10	28390370	28406369	+	ANCESTRAL	MAGEB18	no		MAGEB10
PanTro	melanoma-associated antigen B10-like	LOC473544	28414449	28417502	+	ANCESTRAL	MAGEB18	no		PanPan_PanTro_PonAbe_PonPyg_cluster1
PanTro	MAGE family member B2	MAGEB2	30788129	30792653	+	ANCESTRAL	MAGEB18	no		MAGEB2
PanTro	MAGE family member B3	MAGEB3	30803171	30811843	+	ANCESTRAL	MAGEB18	no		MAGEB3
PanTro	MAGE family member B4	MAGEB4	30815767	30818048	+	ANCESTRAL	MAGEB18	no		MAGEB4
PanTro	MAGE family member B1	MAGEB1	30817558	30825900	+	ANCESTRAL	MAGEB18	no		MAGEB1
PanTro	uncharacterized LOC129138669	LOC129138669	34514909	34524450	-	ANCESTRAL	uncharacterized LOC129138873	no		
PanTro	transcription elongation factor A protein-like 8	LOC129388395	35094223	35094786	-	ANCESTRAL	TCEAL8	no		TCEAL8
PanTro	MAGE family member B16	MAGEB16	36423478	36428946	+	ANCESTRAL	MAGEB18	no		MAGEB16
PanTro	H2A.L variant histone 1Q	H2AL1Q	37355494	37356295	+	ANCESTRAL	H2AB3	no		H2AL1Q
PanTro	endogenous retrovirus group K member 6 Env polyprotein	LOC112206852	37778039	37781178	+	ANCESTRAL	endogenous retrovirus group K member 6 Env polyprotein-like	no		PanPan_PanTro_PonPyg_cluster1
PanTro	histone H2A-like 3	LOC129138892	38422772	38423843	+	ANCESTRAL	H2AB3	no		H2AL3_2
PanTro	sperm acrosome associated 5	SPACA5	48439553	48442294	+	ANCESTRAL	SPACA5	no		SPACA5
PanTro	SSX family member 1	SSX1	48538910	48551206	+	ANCESTRAL	SSX4B	no		SSX3
PanTro	protein SSX2	LOC737502	48567773	48576906	-	ANCESTRAL	SSX4B	no		SSX3
PanTro	putative protein SSX9	LOC100608018	48596104	48604108	-	ANCESTRAL	SSX4B	no		SSX3
PanTro	SSX family member 3	SSX3	48645590	48655920	-	AMPLICONIC	SSX4B	no		SSX3
PanTro	protein SSX4	LOC107966478	48682416	48692408	+	AMPLICONIC	SSX4B	yes	Q2A	SSX3
PanTro	protein SSX4	LOC737267	48701149	48711143	-	AMPLICONIC	SSX4B	yes	Q2B	SSX3
PanTro	G antigen 10	GAGE10	49601367	49617528	+	ANCESTRAL	GAGE1	no		GAGE1
PanTro	G antigen 2D	LOC129138855	49619742	49627059	+	ANCESTRAL	GAGE1	no		GAGE1
PanTro	G antigen 2D-like	LOC129135406	49629232	49636597	+	ANCESTRAL	GAGE1	no		GAGE1
PanTro	G antigen 2D-like	LOC129138594	49638759	49646125	+	ANCESTRAL	GAGE1	no		GAGE1
PanTro	G antigen 2D-like	LOC129135348	49648286	49655652	+	ANCESTRAL	GAGE1	no		GAGE1
PanTro	G antigen 2D-like	LOC129138595	49657858	49665180	+	ANCESTRAL	GAGE1	no		GAGE1
PanTro	G antigen 4	LOC129138596	49667355	49674716	+	ANCESTRAL	GAGE1	no		GAGE1
PanTro	G antigen 4	LOC129138710	49676890	49684251	+	ANCESTRAL	GAGE1	no		GAGE1
PanTro	G antigen 4	LOC473605	49686424	49693785	+	ANCESTRAL	GAGE1	no		GAGE1
PanTro	PAGE family member 1	PAGE1	49779348	49787396	-	ANCESTRAL	GAGE1	no		PAGE1_2
PanTro	PAGE family member 4	PAGE4	49922022	49926957	+	ANCESTRAL	GAGE1	no		PAGE4
PanTro	diphosphoinositol polyphosphate phosphohydrolase 3-beta	LOC107971149	51388468	51393598	+	ANCESTRAL	NUDT10	no		NUDT10
PanTro	diphosphoinositol polyphosphate phosphohydrolase 3-beta	LOC107971179	51549278	51556198	-	ANCESTRAL	NUDT10	no		NUDT10
PanTro	centromere protein V like 3	CENPVL3	51657091	51659004	-	ANCESTRAL	CENPVL2	no		CENPVL3
PanTro	centromere protein V-like protein 1	LOC473612	51721015	51722970	-	AMPLICONIC	CENPVL2	yes	Q3A	CENPVL3
PanTro	centromere protein V-like protein 1	LOC107970979	51752566	51754517	+	AMPLICONIC	CENPVL2	yes	Q3B	CENPVL3
PanTro	MAGE family member D1	MAGED1	51845428	51944688	+	ANCESTRAL	MAGED1	no		MAGED1
PanTro	putative uncharacterized protein FLJ39060	LOC107971160	52099049	52100526	-	AMPLICONIC	putative uncharacterized protein FLJ39060	yes	Q4A	GorGor_MacFas_PanPan_PanTro_PonAbe_PonPyg_SymSyn_cluster1
PanTro	melanoma-associated antigen D4	LOC112204101	52108136	52115883	-	AMPLICONIC	MAGED1	yes	Q4A	MAGED4
PanTro	MAGE family member D4	MAGED4	52230811	52238560	+	AMPLICONIC	MAGED1	yes	Q4B	MAGED4
PanTro	X antigen family member 2	XAGE2	52415442	52422135	+	ANCESTRAL	GAGE1	no		XAGE2
PanTro	X antigen family member 1	LOC129138634	52542317	52547396	+	AMPLICONIC	XAGE1A	yes	Q5A	PanPan_PanTro_cluster1
PanTro	X antigen family member 1	LOC129138633	52554010	52559086	-	AMPLICONIC	XAGE1A	yes	Q5B	PanPan_PanTro_cluster1
PanTro	putative protein SSX8	LOC465644	52667338	52675228	+	AMPLICONIC	SSX4B	no		SSX3
PanTro	X antigen family member 5	LOC129135314	52702874	52709985	-	AMPLICONIC	GAGE1	yes	Q6A	XAGE5
PanTro	sperm protein associated with the nucleus on the X chromosome N2	LOC129135293	52723705	52725005	+	AMPLICONIC	SPANXA1	yes	Q6A	SPANXN5
PanTro	protein SSX2	LOC129135296	52759532	52769852	-	AMPLICONIC	SSX4B	yes	Q6A	SSX3
PanTro	protein SSX2	LOC741661	52811093	52821413	+	AMPLICONIC	SSX4B	yes	Q6B	SSX3
PanTro	SPANX family, member N5	SPANXN5	52855935	52857224	-	AMPLICONIC	SPANXA1	yes	Q6B	SPANXN5
PanTro	X antigen family member 5	XAGE5	52870953	52878062	+	AMPLICONIC	GAGE1	yes	Q6B	XAGE5
PanTro	X antigen family member 3	XAGE3	52919823	52925385	-	AMPLICONIC	GAGE1	no		XAGE3
PanTro	family with sequence similarity 156 member B	FAM156B	52946174	52963275	+	AMPLICONIC	FAM156B	yes	Q7A	FAM156B
