Cluster,Species1,Species2,Mean_Syn,SD_Syn,Mean_Nonsyn,SD_Nonsyn,No_of_Codon,dNdS,Species1_num_copies,Species2_num_copies,Mean_Syn_count,SD_Syn_count,Mean_Nonsyn_count,SD_Nonsyn_count,Family,mean_dNdS,mean_dN,mean_dS,frac_below1,frac_above1,selection
CSF2RA,PanTro,HomSap,0.0773,,0.0484,,393,0.6258,1,1,26.5833,,40.4167,,CSF2RA,0.635153597644954,0.048338946925,0.077071980677,0.9972,0.0028,purifying
CSF2RA,PanTro,PanPan,0.0467,,0.0478,,393,1.0252,1,1,16.0,,40.0,,CSF2RA,1.0552619468198243,0.047816125898999993,0.046520627536,0.4366,0.5634,nonsignificant
CSF2RA,PanTro,GorGor,0.0724,,0.0588,,393,0.8119,1,1,24.8333,,49.1667,,CSF2RA,0.8290411013913428,0.058825222287999995,0.07231873543400001,0.8588,0.1412,nonsignificant
CSF2RA,PanTro,SymSyn,0.1293,0.0141,0.072,0.0035,393,0.5565,1,2,44.3333,4.9497,60.1667,2.8284,CSF2RA,0.5633464816414119,0.07197130479899999,0.129173150189,0.9997,0.0003,purifying
CSF2RA,PanTro,MacFas,0.2304,,0.0969,,393,0.4205,1,1,79.0,,81.0,,CSF2RA,0.4236145541780467,0.096698401873,0.23020443339399999,1.0,0.0,purifying
CSF2RA,HomSap,PanPan,0.066,,0.0483,,393,0.7316,1,1,22.5,,40.5,,CSF2RA,0.7505869544239641,0.048312555256,0.06593271776399999,0.9225,0.0775,nonsignificant
CSF2RA,HomSap,GorGor,0.0763,,0.0525,,393,0.6878,1,1,26.0,,44.0,,CSF2RA,0.7037217535825564,0.05249191210700001,0.076298259077,0.9596,0.0403,purifying
CSF2RA,HomSap,SymSyn,0.1203,0.0163,0.0644,0.0018,393,0.5353,1,2,41.0,5.6569,54.0,1.4142,CSF2RA,0.5424110943045182,0.064419237943,0.1203512656195,0.9998,0.0002,purifying
CSF2RA,HomSap,MacFas,0.2348,,0.0895,,393,0.3811,1,1,80.0,,75.0,,CSF2RA,0.38356144809860443,0.08927569738100001,0.234638641959,1.0,0.0,purifying
CSF2RA,PanPan,GorGor,0.0324,,0.0131,,393,0.4049,1,1,11.0,,11.0,,CSF2RA,0.4493356873403261,0.01314718384,0.032362879442,0.9762,0.0238,purifying
CSF2RA,PanPan,SymSyn,0.0912,0.0123,0.0262,0.0034,393,0.2873,1,2,31.0,4.2426,22.0,2.8284,CSF2RA,0.2957420178756558,0.02624847833,0.0912093136005,1.0,0.0,purifying
CSF2RA,PanPan,MacFas,0.2031,,0.0512,,393,0.2524,1,1,69.0,,43.0,,CSF2RA,0.2548432494411757,0.05107746771999999,0.202921494179,1.0,0.0,purifying
CSF2RA,GorGor,SymSyn,0.0706,0.0123,0.031,0.0017,393,0.4386,1,2,24.0,4.2426,26.0,1.4142,CSF2RA,0.4552603086796613,0.031031196264000006,0.070646541206,0.9981,0.0019,purifying
CSF2RA,GorGor,MacFas,0.1883,,0.0548,,393,0.291,1,1,64.0,,46.0,,CSF2RA,0.2940299842029932,0.054658335925999994,0.188232652761,1.0,0.0,purifying
CSF2RA,SymSyn,MacFas,0.1827,0.0001,0.0511,0.0033,393,0.2799,2,1,62.0833,0.1179,42.9167,2.7106,CSF2RA,0.2829018714203401,0.051012491,0.1825556399075,1.0,0.0,purifying
PanPan_PanTro_cluster1,PanTro,PanPan,0.0111,0.0022,0.0166,0.0017,110,1.4849,2,23,1.0435,0.2062,3.913,0.4124,SPANX,8.48827928426898,0.016529760656043477,0.011141097875826088,0.3173,0.6827,nonsignificant
PanPan_PanTro_cluster2,PanTro,PanPan,0.0128,0.0,0.0234,0.0054,97,1.8249,2,2,1.0,0.0,5.0,1.1547,SPANX,1.4945067144465907,0.023460024585499995,0.012826681198,0.1717,0.8283,nonsignificant
PonAbe_PonPyg_cluster1,PonPyg,PonAbe,0.0158,,0.003,,153,0.1908,1,1,2.0,,1.0,,SPANX,0.22271341475612247,0.003041282135,0.015897088119,0.848,0.152,nonsignificant
PonAbe_PonPyg_cluster2,PonPyg,PonAbe,0.0,,0.0175,,104,inf,1,1,0.0,,4.0,,SPANX,,0.017625961751000004,0.0,0.0,1.0,positive
PonAbe_PonPyg_cluster3,PonPyg,PonAbe,0.0579,,0.0147,,125,0.2548,1,1,6.0,,4.0,,SPANX,0.3173007835748033,0.014634918535,0.057845776128,0.966,0.034,purifying
SPANX-B,PanTro,PanPan,0.0172,,0.0096,,143,0.5584,1,1,2.0,,3.0,,SPANX,0.6345713071194203,0.009565610593,0.017399197377,0.6943,0.3057,nonsignificant
SPANXN1,PanTro,PanPan,0.0,,0.0055,,166,inf,1,1,0.0,,2.0,,SPANX,,0.005569275611000001,0.0,0.0,1.0,positive
SPANXN2,PanTro,HomSap,0.0551,0.039,0.0776,0.0566,85,1.4074,2,2,3.75,2.6615,14.5,10.5909,SPANX,1.6594486004529696,0.07779855485275,0.055059618886249995,0.1814,0.8186,nonsignificant
SPANXN2,PanTro,PanPan,0.0477,0.0473,0.0736,0.0728,85,1.5422,2,2,3.25,3.2275,13.75,13.5923,SPANX,1.8854695047929242,0.07385978075499999,0.047679458735000006,0.1381,0.8619,nonsignificant
SPANXN2,PanTro,GorGor,0.1159,0.0394,0.1478,0.0397,85,1.2754,2,2,8.0,2.7988,27.5,7.2915,SPANX,1.343206108617929,0.1479732403245,0.1158703734835,0.1478,0.8522,nonsignificant
SPANXN2,PanTro,PonPyg,0.0776,0.0402,0.0841,0.051,85,1.0834,2,2,5.25,2.7234,15.75,9.5438,SPANX,1.209198994187718,0.08425783119575,0.077798699424,0.4019,0.5981,nonsignificant
SPANXN2,PanTro,PonAbe,0.0699,0.0575,0.0815,0.0623,85,1.1654,2,1,4.75,3.8891,15.25,11.6673,SPANX,1.4027929691808798,0.081637086097,0.07015715536150001,0.3408,0.6592,nonsignificant
SPANXN2,PanTro,SymSyn,0.1272,0.0281,0.1651,0.1078,85,1.2972,2,3,8.6806,1.9282,30.8194,20.079,SPANX,1.3601935041318236,0.16536297987983334,0.12709956982216666,0.1042,0.8958,nonsignificant
SPANXN2,PanTro,MacFas,0.086,0.0215,0.1078,0.0258,85,1.254,2,3,5.8333,1.4024,20.1667,4.8132,SPANX,1.3757241603455594,0.1080517205705,0.08586257589683334,0.2291,0.7709,nonsignificant
